Rank,Handle,Codeforces_Handle,Codeforces_Rating,GFG_Handle,GFG_Contest_Score,GFG_Practice_Score,Leetcode_Handle,Leetcode_Rating,Codechef_Handle,Codechef_Rating,HackerRank_Handle,HackerRank_Practice_Score,Percentile
43,21r01a0509,cmrit25_21r01a0509,773,21r01a0509,98,71,bhavani_2234,1460,bhavani_2234,1188,21r01a0509,307,42.79%
44,21r01a05j3,cmrit25_21r01a05j3,935,21r01a05j3,79,14,21r01a05j3,1460,sravani173,1406,21r01a05j3,75,42.76%
45,21r01a0504,cmrit25_21r01a0504,752,21r01a0504,181,6,21r01a0504,1378,madhusudhan04,1295,21r01a0504,45,42.76%
46,21r01a6618,cmrit25_21r01a6618,853,21r01a96ng,105,2,21r01a6618,1274,gs1103,1037,21r01a6618,456,42.35%
47,21r01a6696,cmrit25_21r01a6696,871,21r01a6696,121,25,21r01a6696,1370,siddharth291,1150,21r01a6696,122,42.31%
48,21r01a0545,cmrit25_21r01a0545,879,ravi21r01a0545,70,86,21r01a0545ravi,1363,ravi_1603,1290,21r01a0545,85,41.85%
49,21r01a05h6,cmrit25_21r01a05h6,800,21r01a05h6,168,3,21r01a05h6,1377,vaishnavi_5h6,1166,21r01a05h6,10,41.83%
50,21r01a6758,cmrit25_21r01a6758,740,21r01a6758,135,20,nandhu2304,1271,nandhu2304,1106,21r01a6758,326,41.25%
51,21r01a6712,rahuldrp,888,rahuldrp,75,13,rahuldrp,1292,rahuldrp,1463,rahuldrp,110,41.21%
52,21r01a05n7,cmrit25_21r01a05n7,844,21r01a05n7,100,10,21r01a05n7,1503,cmr_21r01a05n7,1309,,0,40.8%
53,21r01a6690,cmrit25_21r01a6690,856,21r01a10bg,97,26,21r01a6690,1383,kbaakash12345,1139,21r01a6690,107,40.57%
54,21r01a05a3,cmrit25_21r01a05a3,976,21r01a05a3,34,21,21r01a05a3,1320,rahilsubhan,1319,21r01a05a3,136,40.57%
55,21r01a67c0,cmrit25_21r01a67c0,833,21r01a67c0,109,0,21r01a67c0,1427,r01a67c0,1206,21r01a67c0,75,40.4%
56,21r01a6623,cmrit25_21r01a6623,709,kneharedo1ck,135,7,nehakalimela,1380,nehareddy1904,1015,21r01a6623,330,40.36%
57,22r05a0427,cmrit25_22r05a0427,865,22r05a08ms,50,5,sowmika_27,1566,sowmika_27,1253,22r05a0427,192,40.25%
58,21r01a66e9,cmrit25_21r01a66e9,775,21r01a66e9,142,0,gandla_saikiran,1337,saikiran50412,1070,21r01a66e9,116,39.98%
59,21r01a0566,cmrit25_21r01a0566,845,21r01a1fp0,89,3,gnanitha_annavarapu,1355,r01a0566,1264,21r01a0566,113,39.95%
60,21r01a0550,cmrit25_21r01a0550,850,21r01a0550,113,2,21r01a0550,1249,akhil_550,1190,21r01a0550,63,39.76%
61,21r01a7360,thumusanjay000,1052,thumusanjay000,0,0,tumusanjay000,1484,tumusanjay,1341,thumusanjay000,0,39.56%
62,21r01a05n8,cmrit25-21r01a05n8,820,karthik_51,74,18,karthik_51,1377,karthik_51,1407,21r01a05n8,53,39.47%
63,21r01a7210,cmrit25_21r01a7210,827,pavan_10,63,5,pavan_7210,1408,sololeveler_10,1297,21r01a7210_pavan,188,39.45%
64,21r01a05m4,cmrit25_21r01a05m4,797,21r01acgdz,88,11,21r01a05m4,1514,sunil5m4,1283,21r01a05m4,27,39.34%
65,21r01a0549,cmrit25_21r01a0549,945,21r01as4mb,28,21,harshithhreddy,1502,harshithreddy4,1202,21r01a0549,65,39.26%
66,21r01a6677,cmrit25_21r01a6677,824,siddesh122,76,6,21r01a6677,1392,siddesh122,1434,21r01a6677,5,39.13%
67,21r01a7342,cmrit25_21r01a7342,818,21r01a7nsm,0,77,21r01a7342,1254,cmr_21r01a7342,1431,21r01a7342,333,39.11%
68,21r01a0543,cmrit25_21r01a0543,915,21r01a0543,68,2,santhosh_76,1318,santhoshnayakm,1213,21r01a0543,26,38.88%
69,21r01a0534,cmrit25_21r01a0534,835,21r01a0534,40,36,21r01a0534,1341,cmrit_21r01a05,1091,21r01a0534,329,38.87%
70,21r01a05d2,rana_9325,1019,,0,0,21r01a05d2,1482,rana_9325,1309,21r01a05d2,0,38.65%
71,21r01a0523,21r01a0523,943,21r01a0523,0,0,vedaprathik23,1648,vedaprathik23,1340,21r01a0523,30,38.52%
72,21r01a0536,cmrit25_21r01a0536,945,21r01a0536,0,4,21r01a0536,1472,akanksha_konga,1253,21r01a0536,177,38.48%
73,21r01a66e2,cmrit25_21r01a66e2,912,21r01a66e2,60,6,21r01a66e2,1344,sh21r01a66e2,1060,21r01a66e2,90,38.3%
74,21r01a67g9,cmrit25_21r01a67g9,867,21r01a67g9,25,0,narendra_3,1378,narendra3,1350,21r01a67g9,179,38.15%
75,21r01a7343,cmrit25_21r01a7343,742,21r01a7343,74,24,21r01a7343,1281,sruthi38,896,21r01a7343,459,38.1%
76,21r01a66f9,cmrit25_21r01a66f9,773,21r01a66f9,67,4,21r01a66f9,1452,nithin421,1425,21r01a66f9,29,38.04%
77,21r01a66h0,cmrit25_21r01a66h0,865,shivakumar_245,0,27,21r01a66h0,1553,shivakumar_245,1202,21r01a66h0,221,38.01%
78,22r05a0520,cmrit25_22r05a0520,911,cmrit25_22r05a0520,38,26,22r05a0520,1242,ramupalla912,1049,22r05a0_520,194,37.94%
79,21r01a05e6,21r01a05e6,934,21r01a05e6,30,5,21r01a05e6,1574,cmr_21r01a05e6,1063,21r01a05e6,0,37.63%
80,21r01a7347,sadanand26,1030,21r01aeapc,0,31,21r01a7347,1306,sadanand26,1027,21r01a7347,75,37.63%
81,22r05a0501,cmrit25_22r05a0501,825,abbagouni22501,39,6,22r05a0501,1358,bhavani2003,1269,22r05a0501,173,37.51%
82,21r01a0557,cmrit25_21r01a0557,871,thada_preethi,0,28,21r01a0557,1475,cmr_21r01a0557,1292,21r01a0557,140,37.48%
83,21r01a0533,cmrit25_21r01a0533,833,21r01a0533,29,35,21r01a0533,1353,harikakaranam,1321,21r01a0533,91,37.43%
84,21r01a6761,cmrit25_21r01a6761,829,ganesh_61,9,4,ganesh_61,1498,ganesh_61,1190,21r01a6761,293,37.39%
85,21r01a6666,cmrit25_21r01a6666,872,21r01a6666,39,0,21r01a6666,1342,cmr_21r01a6666,1199,21r01a6666,125,37.34%
86,21r01a0563,21r01a0563,817,21r01a0563,60,0,21r01a0563,1383,shivathmika63,1017,21r01a0563,191,37.06%
87,21r01a67a4,cmrit25_21r01a67a4,903,,0,0,meghana_939,1427,meghana_939,1341,21r01a67a4,102,37.05%
88,21r01a05k5,cmrit25_21r01a05k5,858,21r01a05k5,29,7,veerendra74,1433,veerendra74,1272,21r01a05k5,56,37.03%
89,21r01a05m5,cmrit25_21r01a05m5,865,21r01a05m5,40,24,21r01a05m5,1410,hemanth_463,998,21r01a05m5,122,37.02%
90,22r05a0514,kodam1,911,22r05a0514,30,0,22r05a0514,1434,kodam1,1183,22r05a0514,9,37.01%
91,21r01a67h6,cmrit25_21r01a67h6,726,ramana67h6,0,7,21r01a67h6,1604,ramana67h6,1351,21r01a67h6,347,36.97%
92,21r01a05a6,cmrit25_21r01a05a6,943,harishblia,10,14,21r01a05a6,1240,harishgo764,1328,harishgo764,30,36.93%
93,21r01a6683,manohar_eldhandi,893,21r01a6683,25,0,manohareldhandi,1417,mano2003,1218,21r01a6683,51,36.88%
94,21r01a0559,cmrit25_21r01a0559,849,21r01a0559,29,0,21r01a0559,1408,sravani1304,1314,21r01a0559,60,36.8%
